title,creators,collection,tags,description
"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow","Tom Rath, Barry Conchie",Philippines,"business, leadership & management","For decades, Gallup scientists have researched the topic of leadership. They’ve surveyed a million work teams, conducted more than 50,000 in-depth interviews with leaders, and even interviewed 20,000 followers to ask what they admired in the most important leader in their life. The results of that research are unveiled in Strengths-Based Leadership."
"Psych 101: Psychology Facts, Basics, Statistics, Tests, and More!",Paul Kleinman,Philippines,personal growth,"A hands-on approach to exploring the human mindToo often, textbooks turn the noteworthy theories, principles, and experiments of psychology into tedious discourse that even Freud would want to repress. Psych 101 cuts out the boring details and statistics, and instead, gives you a lesson in psychology that keeps you engaged - and your synapses firing.From personality quizzes and the Rorschach Blot"
"Thinking, Fast and Slow",Daniel Kahneman,Philippines,"business, new york time best seller, personal growth",Major New York Times bestsellerWinner of the National Academy of Sciences Best Book Award in 2012Selected by the New York Times Book Review as one of the best books of 2011A Globe and Mail Best Books of the Year 2011 TitleOne of The Economist’s 2011 Books of the Year One of The Wall Steet Journal's Best Nonfiction Books of the Year 2011
Difficult Conversations: How to Discuss What Matters Most,"Douglas Stone, Bruce Patton, Sheila Heen",Philippines,"communication, leadership & management, personal growth","We attempt or avoid difficult conversations every day-whether dealing with an underperforming employee, disagreeing with a spouse, or negotiating with a client. From the Harvard Negotiation Project, the organization that brought you Getting to Yes, Difficult Conversations provides a step-by-step approach to having those tough conversations with less stress and more success."
Negotiating 101,Peter Sander,Philippines,"business, communication, leadership & management","A quick-and-easy guide to core business and career concepts--no MBA required! The ability to negotiate a deal. Confidence to oversee staff. Complete, accurate monitoring of expenses. In today's business world, these are must-have skills. But all too often, comprehensive business books turn the important details of best practices into tedious reading that would put even a CEO to sleep"
Best of the Best Philippines,Simeon Ventura Jr.,Philippines,travel,"Want the best vacation experience the Philippines has to offer? “Best of the Best: Philippines” now makes it easier to plan; simply mix and match to your heart's content. This book can be the best travel book about the country’s top destinations for trekking, surfing, and diving."
Bulfinch Illustrated Mythology,Thomas Bulfinch,Philippines,mythology,"Bulfinch Mythology is the best-known compilation of ancient myths and legends. In simple but elegant prose Thomas Bulfinch retold the most enduring stories of ancient Greece and Rome capturing the imaginations of generations of readers. Although written for a general audience, his accounts are drawn directly from Classical authors, such as Homer, Vergil and Ovid. Greek and Roman mythology has proved fertile ground for artists of all schools from the Renaissance to the present day. From Botticelli s Birth of Venus to the Pre-Raphaelites and Symbolists of the nineteenth and twentieth centuries, the intensely pictorial and symbolic nature of the mythological perspective has shaped the artistic vocabulary in profound ways. It also provided artists with a permissible context within which to celebrate the human body.The works of art included in this edition evidence the numerous vital connections between art and mythology and confirm the continuing life of these ancient stories that still speak deeply to the conundrums of human experience."
Bruce Lee: The Authorized Visual History,Steve Kerridge,Philippines,"biography, celebrity, film & television","Bruce Lee was instrumental in the global popularity of kung fu, and even some 40 years after his death he remains the most famous martial artist in the world. This official book—the biggest illustrated volume ever published on Lee—shows the whole of his life in images, all sourced from the extensive Lee family archives. Bruce himself was a prolific photographer and took thousands of pictures on set, with his family, and during intensive training and martial arts demonstrations. They are reproduced here, along with documents featuring excerpts from his poetry, philosophical musings, and film scripts, and a foreword by his daughter, Shannon Lee. The fan-pleasing images range from Lee's iconic, beloved theatrical poses to the previously undiscovered and never-before-published."
Silk Roads: A New History of the World - Illustrated Edition,Peter Frankopan,Philippines,history,"The Silk Roads: A New History of the World, declares a childhood obsession with it. In Greek myth two eagles fly from opposite poles of the world until they meet at its center above a place where humans may communicate with the divine. Attempting to retrace the eagles’ course across a map, Frankopan writes that his finger always fell somewhere on western Asia, a region that continued to fascinate him, but on which his Western education was silent."
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,Philippines,"business, leadership & management","""A powerful and penetrating exploration of what separates great companies and great leaders from the rest.""-Polly LaBarre, coauthor of Mavericks at Work Why are some people and organizations more innovative, more influential, and more profitable than others? Why do some command greater loyalty?In studying the leaders who've had the greatest influence in the world, Simon Sinek discovered that they all think, act, and communicate in the exact same way-and it's the complete opposite of what everyone else does. People like Martin Luther King Jr., Steve Jobs, and the Wright Brothers might have little in common, but they all started with why.Drawing on a wide range of real-life stories, Sinek weaves together a clear vision of what it truly takes to lead and inspire."
Blink,Malcolm Gladwell,Philippines,personal growth,"Blink: The Power of Thinking Without Thinking (2005) is Malcolm Gladwell's second book. It presents in popular science format research from psychology and behavioral economics on the adaptive unconscious: mental processes that work rapidly and automatically from relatively little information. It considers both the strengths of the adaptive unconscious, for example in expert judgment, and its pitfalls, such as prejudice and stereotypes."
Sapiens: a Graphic History,Yuval Noah Harari,Philippines,history,"Instant National Bestseller The first volume of the graphic adaptation of Yuval Noah Harari's smash #1 New York Times and international bestseller recommended by President Barack Obama and Bill Gates, with gorgeous full-color illustrations and concise, easy to comprehend text for readers of all ages. One hundred thousand years ago, at least six different species of humans inhabited Earth. Yet today there is only one--homo sapiens. What happened to the others? And what may happen to us? In this first volume of the full-color illustrated adaptation of his groundbreaking book, renowned historian Yuval Harari tells the story of humankind's creation and evolution, exploring the ways in which biology and history have defined us and enhanced our understanding of what it means to be ""human."" From examining the role evolving humans have played in the global ecosystem to charting the rise of empires, Sapiens challenges us to reconsider accepted beliefs, connect past developments with contemporary concerns, and view specific events within the context of larger ideas.  Featuring 256 pages of full-color illustrations and easy-to-understand text covering the first part of the full-length original edition, this adaptation of the mind-expanding book furthers the ongoing conversation as it introduces Harari's ideas to a wide new readership."
Promised Land,Barack Obama,Philippines,"biography, new york time best seller, politics","A Promised Land is a memoir by Barack Obama, detailing his journey from his early political aspirations to becoming the 44th President of the United States. The book provides a firsthand account of his 2008 election campaign, key policy decisions, and the challenges he faced during his first term in office. Obama shares personal reflections on leadership, democracy, race, and the impact of his presidency on the world. The memoir also offers insights into his personal life, including his relationship with his family and the weight of presidential responsibilities."
Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,Philippines,"business, entrepreneurship","The Challenge:Built to Last, the defining management study of the nineties, showed how great companies triumph over time and how long-term sustained performance can be engineered into the DNA of an enterprise from the verybeginning. But what about the company that is not born with great DNA? How can good companies, mediocre companies, even bad companies achieve enduring greatness?"
Together Is Better: A Little Book of Inspiration,Simon Sinek,Philippines,inspiration,"Most of us live our lives by accident—we live as it happens. Fulfillment comes when we live our lives on purpose.""What are you going to do with your life? What are you doing with your life now?""""Do you have goals? A vision? A clear sense of why you do what you do?""Almost everyone knows someone who has grappled with at least one of these questions. The answers can often seem elusive or uncertain.Though there are many paths to follow into the unknown future, there is one way that dramatically increases the chances we will enjoy the journey. To travel with someone we trust.We can try to build a succesful career or a happy life alone, but why would we?Together is better.This unique and delightful little book makes the point that together is better in a quite unexpected way. Simon Sinek, bestselling author of Start With Why and Leaders Eat Last, blends the wisdom he has gathered from around the world with a heartwarming, richly illustrated original fable.Working hard for something we don't care about is called stress. Working hard for something we love is called passion. "
100 Business Tools for Success,Jeremy Kourdi,Philippines,"business, startups, technology","The world is full of business ideas.But how do you know which the best ones are? And how do you find time to read them? 100 Business Tools for Success may be a little book, but it contains the very best business tools that have come from the very best business brains on the planet. Each is summarized over just two pages, so that you can quickly gain access to the insights which are driving the most successful people in all walks of life. A must for all business professionals..."
Let Us Dream,"Pope Francis, Austen Ivereigh",Philippines,"inspiration, mythology, personal growth","n this uplifting and practical book, written in collaboration with his biographer, Austen Ivereigh, the preeminent spiritual leader explains why we must--and how we can--make the world safer, fairer, and healthier for all people now. In the COVID crisis, the beloved shepherd of over one billion Catholics saw the cruelty and inequity of our society exposed more vividly than ever before. He also saw, in the resilience, generosity, and creativity of so many people, the means to rescue our society, our economy, and our planet. In direct, powerful prose, Pope Francis urges us not to let the pain be in vain. He begins Let Us Dream by exploring what this crisis can teach us about how to handle upheaval of any kind in our own lives and the world at large. With unprecedented candor, he reveals how three crises in his own life changed him dramatically for the better. By its very nature, he shows, crisis presents us with a choice: we make a grievous error if we try to return to some pre-crisis state. But if we have the courage to change, we can emerge from the crisis better than before. Francis then offers a brilliant, scathing critique of the systems and ideologies that conspired to produce the current crisis, from a global economy obsessed with profit and heedless of the people and environment it harms, to politicians who foment their people's fear and use it to increase their own power at their people's expense. He reminds us that Christians' first duty is to serve others, especially the poor and the marginalized, just as Jesus did. Finally, the Pope offers an inspiring and actionable blueprint for building a better world for all humanity by putting the poor and the planet at the heart of new thinking. For this plan, he draws not only on sacred sources, but on the latest findings from renowned scientists, economists, activists, and other thinkers. Yet rather than simply offer prescriptions, he shows how ordinary people acting together despite their differences can discover unforeseen possibilities. Along the way, he offers dozens of wise and surprising observations on the value of unconventional thinking, on why we must dramatically increase women's leadership in the Church and throughout society, on what he learned while scouring the streets of Buenos Aires with garbage-pickers, and much more. Let Us Dream is an epiphany, a call to arms, and a pleasure to read. It is Pope Francis at his most personal, profound and passionate. With this book and with open hearts, we can change the world."
"Becoming Bulletproof: Protect Yourself, Read People, Influence Situations, and Live Fearlessly",Evy Poumpouras,Philippines,personal growth,"Becoming Bulletproof: Protect Yourself, Read People, Influence Situations, and Live Fearlessly is a self-improvement and personal security book by Evy Poumpouras, a former Secret Service agent. Drawing from her experience protecting U.S. presidents and handling high-stakes situations, Poumpouras shares practical advice on building mental resilience, reading body language, handling fear, and influencing people. The book teaches readers how to develop a strong mindset, improve situational awareness, and navigate challenges with confidence and control."
"100 Mistakes that Changed History: Backfires and Blunders That Collapsed Empires, Crashed Economies, and Altered the Course of Our World",Bill Fawcett,Philippines,history,"Collected in one volume, here are backfires and blunders that collapsed empires, crashed economies, and altered the course of the world. From the Maginot Line to the Cuban Missile Crisis, history is filled with bad moves and not-so-bright ideas that snowballed into disasters and unintended consequences. This engrossing book looks at one hundred such tipping points. Japan bombs Pearl Harbor. The Caliphs of Baghdad spend themselves into bankruptcy. The Aztecs greet the Conquistadors with open arms. Mexico invites the Americans to Texas-and the Americans never leave. And the rest is history..."
Infinite Game,Simon Sinek,Philippines,"business, new york time best seller","So many organizations and individuals are obsessed with winning. But how do you win a game that never really ends? There is no such thing, for example, as ""winning"" business. Simon Sinek's Start With Why and Leaders Eat Last have helped millions of readers see the hidden rules that govern our behavior. Now The Infinite Game challenges us to rethink our perspective with a deceptively simple question: How do you stay ahead in a game with no end? Games like basketball and chess are finite, with firm rules and clear endpoints. But business, for example, is infinite -- there's ultimately no such thing as ""winning"" because there's always a new set of challenges. Those who thrive in the long run are those who play by infinite rules. They do things that enable them to out-maneuver, out-innovate, and outlast their competitors. Trying to play an infinite game with a finite mindset can be catastrophic. During the Vietnam War, for instance, America won nearly every battle and killed many more enemy troops. But the Americans lost the war because the North Vietnamese were willing to endure any hardship, for as long as it took to force the Americans to give up. Through a wide range of examples, Sinek explores how infinite players in any field can exhaust their competitors, stay ahead for the long run, and create strong organizations, built to weather nearly any storm. Great leaders instinctively play the infinite game; now the rest of us can understand how they do it. The finite thinker focuses on... * A company's quarterly earnings * Winning a presidential election * Winning an Olympic medal * Squeezing the last dollar from a negotiation * Raising an obedient child * Closing a sale * What and How The infinite thinker focuses on... * A company's reputation * Leading the nation * Becoming as good as you can possibly be at your sport * Making your partner want to do business with you again * Raising an inquisitive child * Building a customer relationship * Why"
Becoming Better Grownups,Brad Montague,Philippines,personal growth,"A New York Times-bestselling author looks for the meaning of a good life by seeking advice from the very young and the very old. When his first book tour ended, Brad Montague missed hearing other people's stories so much that he launched what he dubbed a Listening Tour. First visiting elementary schools and later also nursing homes and retirement communities, he hoped to glean new wisdom as to how he might become a better grownup. Now, in this playful and buoyant book, he shares those insights with rest of us --timeless, often surprising lessons that bypass the head we're always stuck in, and go straight to the heart we sometimes forget. Each of the book's three sections begins with the illustrated story of ""The Incredible Floating Girl."" Brad weaves this story together with lessons of success, fear, regret, gratitude, love, happiness, and dreams to reveal the true reason we are here: to fly, and to help others fly. Beautifully designed and featuring Montague's own whimsical 4-color illustrations that appeal to the kid in all of us, Becoming Better Grownups shares the purpose and meaning we can all discover merely by listening, and reveals that--in a world that seems increasingly childish--the secret to joy is in fact to become more childlike."
21 Lessons for the 21st Century,Yuval Noah Harari,Philippines,"history, politics, sociology","In Sapiens, he explored our past. In Homo Deus, he looked to our future. Now, one of the most innovative thinkers on the planet turns to the present to make sense of today's most pressing issues. ""Fascinating . . . a crucial global conversation about how to take on the problems of the twenty-first century.""--Bill Gates, The New York Times Book Review NAMED ONE OF THE BEST BOOKS OF THE YEAR BY FINANCIAL TIMES AND PAMELA PAUL, KQED  How do computers and robots change the meaning of being human? How do we deal with the epidemic of fake news? Are nations and religions still relevant? What should we teach our children? Yuval Noah Harari's 21 Lessons for the 21st Century is a probing and visionary investigation into today's most urgent issues as we move into the uncharted territory of the future. As technology advances faster than our understanding of it, hacking becomes a tactic of war, and the world feels more polarized than ever, Harari addresses the challenge of navigating life in the face of constant and disorienting change and raises the important questions we need to ask ourselves in order to survive. In twenty-one accessible chapters that are both provocative and profound, Harari builds on the ideas explored in his previous books, untangling political, technological, social, and existential issues and offering advice on how to prepare for a very different future from the world we now live in: How can we retain freedom of choice when Big Data is watching us? What will the future workforce look like, and how should we ready ourselves for it? How should we deal with the threat of terrorism? Why is liberal democracy in crisis? Harari's unique ability to make sense of where we have come from and where we are going has captured the imaginations of millions of readers. Here he invites us to consider values, meaning, and personal engagement in a world full of noise and uncertainty. When we are deluged with irrelevant information, clarity is power. Presenting complex contemporary challenges clearly and accessibly, 21 Lessons for the 21st Century is essential reading. ""If there were such a thing as a required instruction manual for politicians and thought leaders, Israeli historian Yuval Noah Harari's 21 Lessons for the 21st Century would deserve serious consideration. In this collection of provocative essays, Harari . . . tackles a daunting array of issues, endeavoring to answer a persistent question: 'What is happening in the world today, and what is the deep meaning of these events?'"""
Touching the Jaguar,John Perkins,Philippines,"politics, social science","This all happened while Perkins was a Peace Corps volunteer. Then he became an ""economic hit man"" (EHM), convincing developing countries to build huge projects that put them perpetually in debt to the World Bank and other US-controlled institutions. Although he'd learned in business school that this was the best model for economic development, he came to understand it as a new form of colonialism. When he later returned to the Amazon, he saw the destructive impact of his work. But a much more profound experience emerged- Perkins was inspired by a previously uncontacted Amazon tribe that ""touched its jaguar"" by uniting with age-old enemies to defend its territory against invading oil and mining companies. For the first time, Perkins details how shamanism converted him from an EHM to a crusader for transforming a failing Death Economy (exploiting resources that are declining at accelerating rates) into a Life Economy (cleaning up pollution, recycling, and developing green technologies). He discusses the power our perceptions have for molding reality. And he provides a strategy for each of us to change our lives and defend our territory-the earth-against current destructive policies and systems."
BE 2. 0 (Beyond Entrepreneurship 2. 0),"Jim Collins, William Lazier",Philippines,"business, entrepreneurship","From Jim Collins, the most influential business thinker of our era, comes an ambitious upgrade of his classic, Beyond Entrepreneurship, that includes all-new findings and world-changing insights. What's the roadmap to create a company that not only survives its infancy but thrives, changing the world for decades to come? Nine years before the publication of his epochal bestseller Good to Great, Jim Collins and his mentor, Bill Lazier, answered this question in their bestselling book, Beyond Entrepreneurship. Beyond Entrepreneurship left a definitive mark on the business community, influencing the young pioneers who were, at that time, creating the technology revolution that was birthing in Silicon Valley. Decades later, successive generations of entrepreneurs still turn to the strategies outlined in Beyond Entrepreneurship to answer the most pressing business questions. BE 2.0 is a new and improved version of the book that Jim Collins and Bill Lazier wrote years ago. In BE 2.0, Jim Collins honors his mentor, Bill Lazier, who passed away in 2005, and reexamines the original text of Beyond Entrepreneurship with his 2020 perspective. The book includes the original text of Beyond Entrepreneurship, as well as four new chapters and fifteen new essays. BE 2.0 pulls together the key concepts across Collins' thirty years of research into one integrated framework called The Map. The result is a singular reading experience, which presents a unified vision of company creation that will fascinate not only Jim's millions of dedicated readers worldwide, but also introduce a new generation to his remarkable work."
What You Do Is Who You Are: How to Create Your Business Culture,Ben Horowitz,Philippines,"business, entrepreneurship, startups","Horowitz, a leading venture capitalist, modern management expert, and New York Times-bestselling author, combines lessons both from history and from modern organizational practice to help executives build cultures that can weather both good and bad times."
Becoming,Michelle Obama,Philippines,"biography, politics","An intimate, powerful, and inspiring memoir by the former First Lady of the United States   In a life filled with meaning and accomplishment, Michelle Obama has emerged as one of the most iconic and compelling women of our era. As First Lady of the United States of America—the first African American to serve in that role—she helped create the most welcoming and inclusive White House in history, while also establishing herself as a powerful advocate for women and girls in the U.S. and around the world, dramatically changing the ways that families pursue healthier and more active lives, and standing with her husband as he led America through some of its most harrowing moments. Along the way, she showed us a few dance moves, crushed Carpool Karaoke, and raised two down-to-earth daughters under an unforgiving media glare.   In her memoir, a work of deep reflection and mesmerizing storytelling, Michelle Obama invites readers into her world, chronicling the experiences that have shaped her—from her childhood on the South Side of Chicago to her years as an executive balancing the demands of motherhood and work, to her time spent at the world’s most famous address. With unerring honesty and lively wit, she describes her triumphs and her disappointments, both public and private, telling her full story as she has lived it—in her own words and on her own terms. Warm, wise, and revelatory, Becoming is the deeply personal reckoning of a woman of soul and substance who has steadily defied expectations—and whose story inspires us to do the same."
Untamed,Glennon Doyle,Philippines,inspiration,"In her most revealing and powerful book yet, the beloved activist, speaker, and bestselling author of Love Warrior and Carry On, Warrior explores the joy and peace we discover when we stop striving to meet the expectations of the world, and start trusting the voice deep within us. ""Untamed will liberate women--emotionally, spiritually, and physically. It is phenomenal.""--Elizabeth Gilbert"
Effective Executive: The Definitive Guide to Getting the Right Things Done,Peter F. Drucker,Philippines,"business, leadership & management","A handsome, commemorative edition of Peter F. Drucker’s timeless classic work on leadership and management, with a foreword by Jim Collins.What makes an effective executive?For decades, Peter F. Drucker was widely regarded as ""the dean of this country’s business and management philosophers"" (Wall Street Journal). In this concise and brilliant work, he looks to the most influential position in management—the executive. The measure of the executive, Drucker reminds us, is the ability to ""get the right things done."" "
Simply Philosophy,Brendan Wilson,Philippines,philosophy,"Simply Philosophy is a book that presents philosophical ideas in a clear and accessible way. It explores key concepts, thinkers, and theories, making philosophy easy to understand for beginners. The book covers fundamental questions about life, knowledge, ethics, and existence."
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Philippines,"history, new york time best seller","This is The Sunday Times Bestseller. Planet Earth is 4.5 billion years old. In just a fraction of that time, one species among countless others has conquered it. Us. We are the most advanced and most destructive animals ever to have lived. What makes us brilliant? What makes us deadly? What makes us Sapiens? In this bold and provocative book, Yuval Noah Harari explores who we are, how we got here and where we're going."
"First, Break All The Rules: What the World's Greatest Managers Do Differently",Gallup Press,Philippines,"business, leadership & management","Gallup presents the remarkable findings of its revolutionary study of more than 80,000 managers in First, Break All the Rules, revealing what the world’s greatest managers do differently. With vital performance and career lessons and ideas for how to apply them, it is a must-read for managers at every level.Included with this re-release of First, Break All the Rules: updated meta-analytic research and access to the Clifton StrengthsFinder assessment, which reveals people’s top themes of talent, and to Gallup’s Q12 employee engagement survey, the most effective measure of employee engagement and its impact on business outcomes."
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,Philippines,personal growth,"Tiny Changes, Remarkable ResultsNo matter your goals, Atomic Habits offers a proven framework for improving--every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results.If you're having trouble changing your habits, the problem isn't you. The problem is your system. Bad habits repeat themselves again and again not because you don't want to change, but because you have the wrong system for change. "
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,Philippines,history,"NEW YORK TIMES BESTSELLER Yuval Noah Harari, author of the critically-acclaimed New York Times bestseller and international phenomenon Sapiens, returns with an equally original, compelling, and provocative book, turning his focus toward humanity’s future, and our quest to upgrade humans into gods.Over the past century humankind has managed to do the impossible and rein in famine, plague, and war. This may seem hard to accept, but, as Harari explains in his trademark style—thorough, yet riveting—famine, plague and war have been transformed from incomprehensible and uncontrollable forces of nature into manageable challenges."
"Making Your Voice Heard: How to own your space, access your inner power and become influential",DR. Connson Chou Locke,Philippines,"communication, personal growth","Making Your Voice Heard is a fresh take on how to successfully influence others, regardless of your gender or background. DRAWING ON THE LATEST RESEARCH IN SOCIAL PSYCHOLOGY, DR. CONNSON CHOU LOCKE WILL LOOK AT WHY WE ARE PRONE TO MISCOMMUNICATE AND HOW TO OVERCOME THESE BARRIERS. This practical guide, based on her popular Guardian Masterclass, will help you hone your personal style, and enhance your presence and influence with ease."
In the Plex,Steven Levy,Philippines,"business, entrepreneurship, technology","""The most interesting book ever written about Google"" (The Washington Post) delivers the inside story behind the most successful and admired technology company of our time, now updated with a new Afterword. Google is arguably the most important company in the world today, with such pervasive influence that its name is a verb. The company founded by two Stanford graduate students--Larry Page and Sergey Brin--has become a tech giant known the world over. Since starting with its search engine, Google has moved into mobile phones, computer operating systems, power utilities, self-driving cars, all while remaining the most powerful company in the advertising business."
Pokémon Visual Companion Third Edition,DK,Philippines,kids,"The world of Pokémon awaits you! Learn all about your favorite Pokémon in this fact-packed guide to the animated series. Discover every region from Kanto to Alola, including the people and Pokémon who live there. Trace Ash's journey and get to know his friends and travel companions. See epic battles and meet Legendary and Mythical Pokémon.
 "
"Mythology: Timeless Tales of Gods and Heroes, 75th Anniversary Illustrated Edition",Edith Hamilton,Philippines,mythology,"In celebration of of the 75th anniversary of this classic bestseller, this stunningly illustrated, beautifully packaged, larger-format hardcover edition will be beloved by fans of Greek, Roman, and Norse mythology of all ages. Since its original publication by Little, Brown and Company in 1942, Edith Hamilton's Mythology has sold millions of copies throughout the word and established itself as a perennial bestseller in its various available formats: hardcover, trade paperback, mass market paperback, and e-book."
Lonely Planet Vietnam,"Nick Ray, Wendy Yanagihara",Philippines,travel,"The Lonely Planet Country Guides are the complete country guides for independent travellers. They feature inspirational colour highlights sections, easy-to-use grid-referenced maps and insightful history, culture, food and environment chapters by specialised contributors."
What the Dog Saw: And Other Adventures,Malcolm Gladwell,Philippines,self-help,"What is the difference between choking and panicking? Why are there dozens of varieties of mustard-but only one variety of ketchup? What do football players teach us about how to hire teachers? What does hair dye tell us about the history of the 20th century? In the past decade, Malcolm Gladwell has written three books that have radically changed how we understand our world and ourselves: The Tipping Point; Blink; and Outliers. Now, in What the Dog Saw, he brings together, for the first time, the best of his writing from The New Yorker over the same period."
China,"Fodor's Travel Publications, Inc. Staff",Philippines,travel,"No matter what your budget or whether it's your first trip or fifteenth, Fodor's Gold Guides get you where you want to go. In this completely up-to-date guide our experts who live in China give you the inside track, showing you all the things to see and do -- from must-see sights to off-the-beaten-path adventures, from shopping to outdoor fun. Fodor's China shows you hundreds of hotel and restaurant choices in all price ranges -- from budget-friendly B&Bs to luxury hotels, from casual eateries to the hottest new restaurants, complete with thorough reviews showing what makes each place special. The Smart Travel Tips A to Z section helps you take care of the nitty gritty with essential local contacts and great advice -- from how to take your mountain bike with you to what to do in an emergency. Your personal supply of Post-it? flags makes it easy to mark your favorite listings. Plus, web links, costs, and mix-and-match itineraries make planning a snap."
"What to Expect When You're Expecting, 4th Edition","Sandee Hathaway B.S.N, Arlene Eisenberg, Heidi Murkoff, Sharon Mazel",Philippines,family,"Announcing a brand new, cover-to-cover revision of America's pregnancy bible. What to Expect When You're Expecting is a perennial New York Times bestseller and one of USA Today's 25 most influential books of the past 25 years. It's read by more than 90% of pregnant women who read a pregnancy book--the most iconic, must-have book for parents-to-be, with over 14.5 million copies..."
Mandarin Phrasebook (Lonely Planet),"Charles Qin, Justin Rudelson",Philippines,travel,"Containing essential words and phrases for effective communication with local people, this title is organized to help travellers find the right words at the right time with ease"
Mandarin: Lonely Planet Phrasebook,"Anthony Garnaut, Lonely Planet Phrasebooks",Philippines,travel,"Containing essential words and phrases for effective communication with local people, this title is organized to help travellers find the right words at the right time with ease"
Shanghai,Bradley Mayhew,Philippines,travel," As you immerse yourself in the untold stories and atmospheric photographs of old and new Shanghai, you will come to understand and appreciate this unique city. Let author Chen Danyan be your guide as she takes you on a fascinating tour: Visit an old Western-style house on the Huaihai Road in the former French Concession. Travel along the historic Bund and glimpse the old and new buildings on the waterfront. Shop the secondhand shops for old watches and clocks or perhaps a small box of dining knives. Stop for a break in one of the many different kinds of restaurants, coffeehouses, or pubs. Your journey will be memorable. You will witness the history of age-old Chinese tradition while discovering the tantalizing contemporary spirit that is the essence of Shanghai. Book jacket."
