Title,creator,Tags,Number_of_Copies,Description
7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,self help,1,"One of the most inspiring and impactful books ever written, The 7 Habits of Highly Effective People has captivated readers for 25 years. It has transformed the lives of Presidents and CEOs, educators and parents— in short, millions of people of all ages and occupations."
8 Secrets of the Truly Rich (How You Can Create Material Wealth and Gain Spiritual Abundance At The Same Time),Bo Sanchez,"self-help, finance",2,"The book is a manual on how to create material wealth and gain spiritual abundance at the same time.  It hopes to raise a new breed of millionaires who are simple, loving and generous."
8th Habit: From Effectiveness to Greatness,Stephen R. Covey,self-help,2,"The world has changed dramatically since the classic, internationally bestselling The 7 Habits of Highly Effective People was published, influencing tens of millions. The challenges and complexity we all face in our relationships, families, professional lives and communities are of an entirely new order of magnitude. In order to thrive, innovate, excel and lead in what Covey calls the new..."
Abduction,Mark Gimenez,"thriller, fiction, mystery, suspense",1,
Abundance Mind-Set,Joel Osteen,"religion, christian literature",1,"Go beyond the ordinary and break out into the extraordinary life God designed for you through a mentality of abundance with help from #1 New York Times bestselling author and Lakewood Church pastor Joel Osteen!We all have a vision of our lives and ourselves. What does your picture look like? Do you see yourself rising higher, overcoming obstacles, and living an abundant life? Or do you have a..."
Adventures of Captain Underpants,Dav Pilkey,"children, fiction",1,"Celebrate the 25th and a half anniversary of THE ADVENTURES OF CAPTAIN UNDERPANTS with a special edition featuring a BRAND NEW 32-page DOG MAN comic! George and Harold are best friends who enjoy making their own comic books. Together they've created the greatest superhero in the history of their elementary school: Captain Underpants! His true identity is SO secret, even HE doesn't know who he is!..."
Adventures of Sherlock Holmes (Collins Classics),Arthur Conan Doyle,fiction,1,"HarperCollins is proud to present its new range of best-loved, essential classics.         'Sherlock Holmes was transformed when he was hot upon such a scent as this. Men who had only known the quiet thinker and logician of Baker Street would have failed to recognize him. His face flushed and darkened. His brows were drawn into two hard black lines, while his eyes shone out from beneath them..."
Alchemist: A Fable About Following Your Dream,"Paulo Coelho, Amy Jurskis","self-help, fiction",1,"""My heart is afraid that it will have to suffer,"" the boy told the alchemist one night as they looked up at the moonless sky."" Tell your heart that the fear of suffering is worse than the suffering itself. And that no heart has ever suffered when it goes in search of its dreams."" The Alchemist is the magical story of Santiago, an Andalusian shepherd boy who yearns to travel in..."
Alexander Hamilton,Ron Chernow,"biography, history",2,"In the first full-length biography of Alexander Hamilton in decades, National Book Award winner Ron Chernow tells the riveting story of a man who overcame all odds to shape, inspire, and scandalize the newborn America. According to historian Joseph Ellis, Alexander Hamilton is “a robust full-length portrait, in my view the best ever written, of the most brilliant, charismatic and dangerous..."
Algebra of Happiness,Scott Galloway,"self-help, business",4,"From the New York Times bestselling author, a provocative book of hard-won wisdom for achieving a fulfilling career and life. - How can you have a meaningful career, not just a lucrative one? - Is a work/life balance really possible? - What does it take to make a long-term relationship succeed? - What can you do now so there are no regrets aged 40, 50 or 80? As Scott Galloway puts it, by the time..."
All Your Perfects: A Novel,Colleen Hoover,"fiction, romance",1,"The #1 New York Times bestselling author of It Ends with Us—whose writing is “emotionally wrenching and utterly original” (Sarah Shepard, New York Times bestselling author of the Pretty Little Liars series)—delivers a tour de force novel about a troubled marriage and the one old forgotten promise that might be able to save it.Quinn and Graham’s perfect love is threatened by their..."
Anatomicum,Jennifer Z Paxton,"science, medical",1,"Welcome to the museum that is always open to explore... Step inside the pages of Anatomicum to enjoy the experience of a museum from the comfort of your own home. The 2019 offering from Welcome to the Museum guides readers through the human body, from the muscles we use to show emotion, to the delicate workings of the brain. With sumptuous artwork by Katy Wiedemann and expert text by professor Dr..."
Ancient City of Pingyao,"Kong Xiangqin, Lan Peijin","history, travel",1,
And Then There Were None,Agatha Christie,fiction,1,"The Queen of Mystery has come to Harper Collins! Agatha Christie, the acknowledged mistress of suspense—creator of indomitable sleuth Miss Marple, meticulous Belgian detective Hercule Poirot, and so many other unforgettable characters—brings her entire oeuvre of ingenious whodunits, locked room mysteries, and perplexing puzzles to Harper Paperbacks…including And Then There Were..."
Andromeda Strain,Michael Crichton,"fiction, novel, science fiction, dystopian",1,"In this bestselling classic, four scientists race to prevent a biochemical disaster after a space probe landing goes awry.A military space probe, sent to collect extraterrestrial organisms from the upper atmosphere, is knocked out of orbit and falls to Earth. Twelve miles from the crash site, an inexplicable and deadly phenomenon terrorizes the residents of a sleepy desert town in Arizona, leaving..."
Animal Farm,George Orwell,"allegory, fiction, politics",1,"A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned--a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. Available..."
Animalium (Welcome To The Museum),Katie Scott (illustrator) Jenny Broom (author),"kids, science, animals",1,
Any Way the Wind Blows,Rainbow Rowell,"fiction, fantasy, young adult",1,
"Arsene Lupin, Gentleman-Thief (Penguin Classics)",Maurice Leblanc,"fiction, history",1,"The suave adventures of a gentleman rogue—a French Thomas Crown Created by Maurice LeBlanc during the early twentieth century, Arsene Lupin is a witty confidence man and burglar, the Sherlock Holmes of crime. The poor and innocent have nothing to fear from him; often they profit from his spontaneous generosity. The rich and powerful, and the detective who tries to spoil his fun, however, must..."
Art of Futurama,"Matt Groening, David X. Cohen (Introduction by), Claudia Katz (Foreword by)","art, fiction",1,"From Matt Groening, creator of The Simpsons, the first art book that delves into the development and history of his beloved TV series, Futurama--timed for the show's 25th anniversary The world of Futurama comes to life in this deluxe art book, with commentary from the show's creator, Matt Groening, showrunner David X. Cohen, and producer Claudia Katz. Just in time for the show's 25th anniversary..."
Art of Howl's Moving Castle,Hayao Miyazaki,manga,2,"A hardback, prestige format book with a generous collection of concept sketches, fully rendered character and background drawings, paintings and cell images. Along with the stunning visuals, the book also presents interviews and comments with the production staff, including key points from the director."
Art of Ponyo (PONYO ON THE CLIFF),Hayao Miyazaki,"manga, kids",1,"Ponyo, loosely based on Hans Christian Andersen's The Little Mermaid, is a hand-drawn feature-length film of breathtaking beauty and charm. The art of the film entails not only cels, but striking watercolor and pastel concept sketches and layout pages. Interviews with production principles about their daring choice to hand draw a film in the age of CGI, and the voice-over screenplay itself,..."
Art of Spirited Away,Hayao Miyazaki,"Art, Spirited Away, Animation, Studio Ghibli, Concept Art, Visuals, Film",1,"The Art of Spirited Away collects colour illustrations of Spirited Away for the first time in an English edition! This book includes paintings and designs from the new animated film from the director of Kiki's Delivery Service and Princess Mononoke. Large-size, hardcover coffee-table book featuring artwork from the renowned animated film, Spirited Away, directed by Hayao Miyazaki. Features..."
Art of the Tale of the Princess Kaguya,Isao Takahata,manga,1,"In a film eight years in making, Studio Ghibli's cofounder Isao Takahata tells the untold story of Princess Kaguya. An old bamboo cutter and his wife find a tiny girl inside a bamboo shoot and raise her. The mysterious little princess grows rapidly into a young lady, enthralling everyone who encounters her-but ultimately, she must face her fate. This book captures the breathtaking art of the film..."
Art of Wish,Disney,"art, film, fantasy",1,"This stunning volume of the Disney Art of series is an exclusive look behind the scenes of Walt Disney Animation Studios' original feature film Wish. A deluxe installment of the beloved Art of Disney series shares the story behind the art and making of Wish, a feature film set to release during the 100th anniversary year of Walt Disney Animation Studios. A film that could only come from Disney..."
Atlas Shrugged,Ayn Rand,fiction,1,"Published in 1957, Atlas Shrugged was Ayn Rand's greatest achievement and last work of fiction. In this novel she   dramatizes her unique philosophy through an intellectual mystery story that integrates ethics, metaphysics,   epistemology, politics, economics, and sex. Set in a near-future U.S.A. whose economy is collapsing as a   result of the mysterious disappearance of leading innovators and..."
Atomic Habits,James Clear,self-help,4,"BRAND NEW, Exactly same ISBN as listed, Please double check ISBN carefully before ordering."
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,personal growth,3,"Tiny Changes, Remarkable ResultsNo matter your goals, Atomic Habits offers a proven framework for improving--every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results.If you're having trouble changing your habits, the..."
Attachments: A Novel,Rainbow Rowell,"fiction, romance",2,"""Hi, I'm the guy who reads your e-mail, and also, I love you . . . ""        Beth Fremont and Jennifer Scribner-Snyder know that somebody is monitoring their work e-mail. (Everybody in the newsroom knows. It's company policy.) But they can't quite bring themselves to take it seriously. They go on sending each other endless and endlessly hilarious e-mails, discussing every..."
Avengers: Kree/Skrull War Gallery Edition,"Roy Thomas, Sal Buscema (Artist), Neal Adams (Artist), John Buscema (Artist)","comics, fiction, graphic novel",1,"The greatest Avengers saga of all gets the oversized Gallery Edition treatment, befitting the revolutionary artwork of the legendary Neal Adams! The galaxy is rocked by a conflict of star-spanning proportions - with Earth caught in the crossfire! The eternal intergalactic enemies, the merciless Kree and the shape-changing Skrulls, have gone to war, and our planet is situated on the front lines!..."
Awakening,Kate Chopin,fiction,1,"The Awakening shocked turn-of-the-century readers and reviewers with its treatment of sex and suicide. In a departure from literary convention, Kate Chopin failed to condemn her heroine's desire for an affair with the son of a Louisiana resort owner, whom she meets on vacation. The power of sensuality, the delusion of ecstatic love, and the solitude that accompanies the trappings of middle- and..."
Baby Steps Millionaires,Dave Ramsey,"finance, business, self-help",1,"You Can Baby Step Your Way to Becoming aMillionaire Most people know Dave Ramsey as the guy whodid stupid with a lot of zeros on the end. He made his first million in histwenties--the wrong way--and then went bankrupt. That's when he set out to learnGod's ways of managing money and developed the Ramsey Baby Steps. Followingthese steps, Dave became a millionaire again--this time the right way. ..."
Bad Feminist: Essays,Roxane Gay,memoir,1,"A collection of essays spanning politics, criticism, and feminism from one of the most-watched young cultural observers of her generation, Roxane Gay.“Pink is my favorite color. I used to say my favorite color was black to be cool, but it is pink—all shades of pink. If I have an accessory, it is probably pink. I read Vogue, and I’m not doing it ironically, though it might seem..."
BE 2. 0 (Beyond Entrepreneurship 2. 0),"Jim Collins, William Lazier","business, entrepreneurship",1,"From Jim Collins, the most influential business thinker of our era, comes an ambitious upgrade of his classic, Beyond Entrepreneurship, that includes all-new findings and world-changing insights. What's the roadmap to create a company that not only survives its infancy but thrives, changing the world for decades to come? Nine years before the publication of his epochal bestseller Good to Great,..."
Becoming,Michelle Obama,"biography, politics",1,"An intimate, powerful, and inspiring memoir by the former First Lady of the United States   In a life filled with meaning and accomplishment, Michelle Obama has emerged as one of the most iconic and compelling women of our era. As First Lady of the United States of America—the first African American to serve in that role—she helped create the most welcoming and inclusive White House in..."
Becoming Better Grownups,Brad Montague,personal growth,1,"A New York Times-bestselling author looks for the meaning of a good life by seeking advice from the very young and the very old. When his first book tour ended, Brad Montague missed hearing other people's stories so much that he launched what he dubbed a Listening Tour. First visiting elementary schools and later also nursing homes and retirement communities, he hoped to glean new wisdom as to how..."
"Becoming Bulletproof: Protect Yourself, Read People, Influence Situations, and Live Fearlessly",Evy Poumpouras,personal growth,1,
Before the Coffee Gets Cold (Original),Toshikazu Kawaguchi,"fiction, fantasy",1,"If you could go back, who would you want to meet? In a small back alley of Tokyo, there is a café that has been serving carefully brewed coffee for more than one hundred years. Local legend says that this shop offers something else besides coffee--the chance to travel back in time. Over the course of one summer, four customers visit the café in the hopes of making that journey. But time travel..."
Being Comfortable without Effort - English Translation,Kim Soo-hyun,self-help,2,"From the author of Korean Bestselling book, I Decided to Live as Me. The book that will teach you that the key to forming relationships with others is to first form a loving relationship with yourself, Being Comfortable Without Effort, written and illustrated by Kim Soo-hyun, the sequel to the best selling title, I Decided To Live As Me, is now available in English. Learn how to build strong..."
Best of the Best Philippines,Simeon Ventura Jr.,travel,1,"Want the best vacation experience the Philippines has to offer? “Best of the Best: Philippines” now makes it easier to plan; simply mix and match to your heart's content.

This book can be the best travel book about the country’s top destinations for trekking, surfing, and diving.
 
The 200-page hardbound travel guide released by Eastgate Publishing, is fun, easy-to-ready and packed with an..."
Big Sky,Adam Ferguson,photography,2,
Black Notice,Patricia Cornwell,fiction,1,"A story centering on the post mortem performed by Dr Scarpetta, which initially reveals neither a cause of death nor an identification. But the victim's personal effects and an odd tattoo take Scarpetta on a hunt for information that leads to Interpol's headquarters in Lyon."
Blade Breaker,Victoria Aveyard,"fiction, romance, fantasy",1,
Blink,Malcolm Gladwell,personal growth,2,"Blink: The Power of Thinking Without Thinking (2005) is Malcolm Gladwell's second book. It presents in popular science format research from psychology and behavioral economics on the adaptive unconscious: mental processes that work rapidly and automatically from relatively little information. It considers both the strengths of the adaptive unconscious, for example in expert judgment, and its..."
Bloodrose,Andrea Cremer,paranormal fiction,2,
Blowout,Catherine Coulter,fiction,1,"A long weekend in the Poconos is interrupted by murder, and FBI agents Savich and Sherlock must look thirty years into the past to stop the killing."
Blue Moon,Lee Child,"novel, fiction, adventure, thriller",1,"Jack Reacher is back in a brand new white-knuckle read from Lee Child, creator of 'today's James Bond, a thriller hero we can't get enough of' (Ken Follett). In a nameless city, two ruthless rival criminal gangs, one Albanian, the other Ukrainian, are competing for control. But they hadn't counted on Jack Reacher arriving on their patch. Reacher is trained to notice things. He's on a Greyhound bus..."
Bonfire Moment,"Martin Gonzalez, Joshua Yellin","personal growth, inspiration",2,"Unique insights from pioneers of Google's Startup Accelerator on why building teams is harder than building tech--and a proven way to develop a strong, resilient and effective team. Most startups fail not because of a bad product, poor timing, or mismanaged cash, but because of people problems: conflicts over strategy, decision-making, and team culture. Even the smartest entrepreneurs have been..."
Book Of Disquiet (Penguin Modern Classics),Fernando Pessoa,fiction,1,"With its astounding hardcover reviews Richard Zenith's new complete translation of THE BOOK OF DISQUIET has now taken on a similar iconic status to ULYSSES, THE TRIAL or IN SEARCH OF LOST TIME as one of the greatest but also strangest modernist texts. An assembly of sometimes linked fragments, it is a mesmerising, haunting 'novel' without parallel in any other culture."
Boundary Boss,Terri Cole,"self-help, psychology",1,"Break Free From Over-Functioning, Over-Delivering, People-Pleasing, and Ignoring Your Own Needs So You Can Finally Live the Life You Deserve! Most of us were never taught how to effectively express our preferences, desires or deal-breakers. Instead, we hide our feelings behind passive-aggressive behavior, deny our own truths, or push our emotions down until we get depressed or so frustrated that..."
Brain Rules,John Medina,self-help,1,"The #1 Sunday Times and International Bestseller from 'the most influential public intellectual in the Western world right now' (New York Times) What are the most valuable things that everyone should know? Acclaimed clinical psychologist Jordan Peterson has influenced the modern understanding of personality, and now he has become one of the world's most popular public thinkers, with his lectures..."
Brand Gap: How to Bridge the Distance Between Business Strategy and Design,Marty Neumeier,"business, marketing, management",1,"THE BRAND GAP is the first book to present a unified theory of brand-building.  Whereas most books on branding are weighted toward either a strategic or creative approach, this book shows how both ways of thinking can unite to produce a “charismatic brand”—a brand that customers feel is essential to their lives. In an entertaining two-hour read you’ll learn: • the..."
Brave New World,Aldous Huxley,"fiction, science fiction, dystopian",1,"Aldous Huxley's tour de force, Brave New World is a darkly satiric vision of a ""utopian"" future—where humans are genetically bred and pharmaceutically anesthetized to passively serve a ruling order. A powerful work of speculative fiction that has enthralled and terrified readers for generations, it remains remarkably relevant to this day as both a warning to be heeded as we head into tomorrow..."
Breasts and Eggs,Mieko Kawakami,fiction,1,"A strange and beguiling novel about three women struggling to determine their own lives in contemporary Tokyo, from Japan's most exciting young writer, Mieko Kawakami"
Bridgerton [TV Tie-In],Julia Quinn,"romance, fiction, history",1,"From New York Times bestselling author Julia Quinn comes the first novel in the beloved Regency-set world of her charming, powerful Bridgerton family, now a series created by Shonda Rhimes for Netflix. In the ballrooms and drawing rooms of Regency London, rules abound. From their earliest days, children of aristocrats learn how to address an earl and curtsey before a prince--while other dictates..."
"Brothers: John Foster Dulles, Allen Dulles, and Their Secret World War",Stephen Kinzer,"biography, military",1,"A joint biography of John Foster Dulles and Allen Dulles, who led the United States into an unseen war that decisively shaped today’s worldDuring the 1950s, when the Cold War was at its peak, two immensely powerful brothers led the United States into a series of foreign adventures whose effects are still shaking the world.John Foster Dulles was secretary of state while his brother, Allen..."
Bruce Lee: The Authorized Visual History,Steve Kerridge,"biography, celebrity, film &amp; television",1,"Bruce Lee was instrumental in the global popularity of kung fu, and even some 40 years after his death he remains the most famous martial artist in the world. This official book—the biggest illustrated volume ever published on Lee—shows the whole of his life in images, all sourced from the extensive Lee family archives. Bruce himself was a prolific photographer and took thousands of pictures..."
Buddha and the Badass,Vishen Lakhiani,self-help,6,
Build Your Future Today,"Randell Tiongson, RFP",self-help,2,"RANDELL TIONGSON is one of the Philippines' most respected personal finance advocates.He is a best-selling author,columnist of the Philippine Daily Inquirer,international speaker,anaward-winning blogger."
Bulfinch Illustrated Mythology,Thomas Bulfinch,mythology,1,"Bulfinch Mythology is the best-known compilation of ancient myths and legends. In simple but elegant prose Thomas Bulfinch retold the most enduring stories of ancient Greece and Rome capturing the imaginations of generations of readers. Although written for a general audience, his accounts are drawn directly from Classical authors, such as Homer, Vergil and Ovid. Greek and Roman mythology has..."
By the River Piedra I Sat Down and Wept,Paulo Coelho,"novel, fiction, romance",1,
Calm the F*ck Down: How to Control What You Can and Accept What You Can't So You Can Stop Freaking Out and Get On With Your Life,Sarah Knight,"nonfiction, self-help, pscyhology",2,"the no-f*cks-given guide to taming anxiety  and taking control of your lifeDo you spend more time worrying about problems than solving them? Do you let unexpected difficulties ruin your day and do ""what ifs"" keep you up at night?Sounds like you need toCALM THE F*CK DOWN.Just because things are falling apart doesn't mean YOU can't pull it together. Whether you're stressed about sh*t that hasn't..."
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,biography,1,"For David Goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a U.S. Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training..."
Captain Underpants and the Attack of the Talking Toilets: Color Edition,Dav Pilkey,"children, fiction",1,"The second Captain Underpants adventure like you've never seen it before -- in FULL COLOR!George and Harold are usually responsible kids . . . whenever anything bad happens, George and Harold are usually responsible! And it looks like they're up to their old tricks again! First, they ruined the school's science fair with a series of silly pranks. Then, they accidentally created an army of evil,..."
Captain Underpants and the Attack of the Talking Toilets: Color Edition (Captain Underpants #2) (Color Edition),Dav Pilkey (Illustrator),"children, fiction",1,"George and Harold's latest prank backfires in the second book in this #1 New York Times bestselling series by Dav Pilkey, the author and illustrator of Dog Man!George and Harold are usually responsible kids -- whenever anything bad happens, George and Harold are usually responsible! This time, they accidentally invent an army of terrifying talking toilets. Luckily, they know a superhero with..."
Caraval,Stephanie Garber,"fiction, fantasy, magic, romance, mystery",2,"The acclaimed New York Times bestseller! Welcome, welcome to Caraval―Stephanie Garber’s sweeping tale of the unbreakable bond between two sisters. It’s the closest you'll ever find to magic in this world...Scarlett has never left the tiny island where she and her beloved sister, Tella, live with their powerful, and cruel, father. Now Scarlett’s father has arranged a marriage for her, and..."
Carry On,Rainbow Rowell,"novel, fantasy, fiction, young adult",1,"A #1 New York Times-bestseller Simon Snow is the worst Chosen One who's ever been chosen.That's what his roommate, Baz, says. And Baz might be evil and a vampire and a complete git, but he's probably right.Half the time, Simon can't even make his wand work, and the other half, he starts something on fire. His mentor's avoiding him, his girlfriend broke up with him, and there's a magic-eating..."
Case of Need,Michael Crichton, fiction,1,"From the bestselling author of Jurassic Park and Rising Sun, this national bestseller combines breathtaking suspense with a penetrating examination of America's medical establishment. When a woman bleeds to death on the operating table, her physician is accused of murder--and another physician searches for the horrible truth. HC: Dutton."
Case-book of Sherlock Holmes (Collins Classics),Arthur Conan (england) Doyle,fiction,1,"When you have eliminated all which is impossible, then whatever remains, however improbable, must be the truth . In this, the final collection of Sherlock Holmes adventures, the intrepid detective and his faithful companion Dr Watson examine and solve twelve cases that puzzle clients, baffle the police and provide readers with the thrill of the chase. These mysteries - involving an illustrious..."
Catcher in the Rye,J.D. Salinger,fiction,1,"Anyone who has read J.D. Salinger's New Yorker stories ? particularly A Perfect Day for Bananafish, Uncle Wiggily in Connecticut, The Laughing Man, and For Esme ? With Love and Squalor, will not be surprised by the fact that his first novel is fully of children. The hero-narrator of THE CATCHER IN THE RYE is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through..."
Champion of Fate,Kendare Blake,"fantasy, mythology, fiction, magic",2,
Change Book,"Mikael Krogerus, Roman Tschappeler","business, inspiration, self-help",1,"The new look Change Book - 40,000 copies already sold of these surprisingly simple explanations of our seemingly inexplicable world"
Chicken Soup for the Soul: Kindness Matters,Amy Newmark,self-help,1,"The best way to make yourself feel great? Do a random act of kindness for someone! These stories will make you smile... because kindness really does matter. Make miracles happen for yourself and others. It's easy. Just open your mind and your heart. There are so many ways that you can help--and it turns out the biggest beneficiary may be you! Scientific studies have shown that ""doing good"" is not..."
Chicken Soup for the Soul: The Best Advice I Ever Heard: 101 Stories of Epiphanies and Wise Words,Amy Newmark,self-help,1,"People aren’t shy about giving advice. Whatever the advice - romantic, parental, financial, nutritional, occupational - you’ve heard it all.  But what’s the best advice you ever heard? The contributors to this book have answered that question 101 different ways. This collection of personal tips, traditional adages, and clever observations covers such diverse topics as life, love,..."
Chicken Soup for the Soul: Think Positive: 101 Inspirational Stories about Counting Your Blessings and Having a Positive Attitude,"Jack Canfield, Mark Victor Hansen, Amy Newmark",self-help,1,"Chicken Soup for the Soul: Think Positive will inspire and uplift readers with its stories of optimism, faith, and strength. In bad times, and good, readers will be heartened to keep a positive attitude. A great start to the New Year.Every cloud has a silver lining. And the stories in Chicken Soup for the Soul: Think Positive will encourage readers to stay positive, because there is always a..."
"Chicken Soup for the Soul: Think, Act & Be Happy: How to Use Chicken Soup for the Soul Stories to Train Your Brain to Be Your Own Therapist","Amy Newmark, Dr. Mike Dow","self-help, psychology",1,"Noted psychotherapist Dr. Mike Dow uses Chicken Soup for the Soul stories to show you how to be your own therapist. He addresses the key issues that most of his patients have and clearly explains how you can use the same techniques he uses with patients to solve your problems at home. This combination of personal stories, clear explanations, and fun journal entries you write yourself will inspire..."
Chicken Soup for the Soul: Tough Times Won't Last but Tough People Will,Amy Newmark,self-help,1,"Tough times won't last but tough people will. These 101 empowering stories of resilience, positive thinking, and overcoming obstacles will help you find your own path through life's challenges. You are tougher than you think, and your inner reserves of strength are just waiting for you to call on them. This powerful collection of revealing, personal stories will help you handle whatever arises in..."
China,"Fodor's Travel Publications, Inc. Staff",travel,1,"No matter what your budget or whether it's your first trip or fifteenth, Fodor's Gold Guides get you where you want to go. In this completely up-to-date guide our experts who live in China give you the inside track, showing you all the things to see and do -- from must-see sights to off-the-beaten-path adventures, from shopping to outdoor fun. Fodor's China shows you hundreds of hotel and..."
Chronological Life Application Study Bible NLT (New Living Translation),,"religion, christian literature, reference",2,"The Bible is the story of God’s interaction with his creation. It is a story that occurs over time, in many places, and through many events. It includes the lives and lessons learned by many people from many cultures. It’s often easy to lose sight of the way in which God’s story fits together when our primary way of looking at the Bible is a bit here and a bit there.The new four-..."
City of the Sun,David Levien,fiction,1,"Private detective Frank Behr has been perfectly content living a solitary life, working on a few simple cases, and attempting to move on from his painful past. But when Paul and Carol Gabriel ask him to help them find their missing son, he can hardly refuse. Going against everything he fears—Behr's been around too long to hope for a happy ending—he enters into an uneasy..."
"Combing the Coral Carpet: Sailing Tales and the Cruising Guide to the Philippine Islands, Vol. 1",Bruce Curran,travel,2,"Sailing tales and the Cruising Guide to the Philippine Islands, 1st edition. The coffee-table sized book of 376 pages, with over one hundred spectacular photos of the Philippines. Includes maritime history, seafaring tales, anchorages, facts & facilities available along the water ways of these fantastic tropical islands with their wealth of friendly people."
Complete Me (The Stark Trilogy): A Novel,J. Kenner,"fiction, romance",1,"NEW YORK TIMES BESTSELLERFor fans of Fifty Shades of Grey and Bared to You comes the third novel in the erotic, fast-paced trilogy including Release Me and Claim Me. This sexy, emotionally charged romance continues the story of Damien Stark, the powerful multimillionaire who’s never had to take “no” for an answer, and Nikki Fairchild, the Southern belle who only says “yes&..."
Compound Effect,Darren Hardy,self-help,1,"Do you want success? More success than you have now? And even more success than you ever imagined possible? That is what this book is about. Achieving it. No gimmicks. No hyperbole. Finally, just the truth on what it takes to earn success As the central curator of the success media industry for over 25 years, author Darren Hardy has heard it all, seen it all, and tried most of it. This book..."
